tokenID,name,description,file_name,           attributes[color scheme],attributes[Energy Source],attributes[Element],attributes[Form],attributes[Mood],attributes[Theme],attributes[Movement],Image CID on Pinata,Json Files CID on Pinata
40,Artistic-Auras #40,"""A striking abstract representation of cosmic forces in opposition, with a radiant orange sun clashing against a swirling black void. A white figure, representing the human spirit or energy, reaches toward the sun as a dark energy appears to pull it into the shadowy void. The composition features sharp contrasts between light and dark, representing duality and the interplay between creation and destruction. The flowing lines and splashes of color evoke movement, while the juxtaposition of cosmic elements and human form speaks to themes of transformation and existential tension.""",40.png,"Black, White, Orange, Yellow",Central Sun,"Void, Cosmic Force, Human Figure","Fluid Shapes, Cosmic Pull","Tense, Dynamic, Transformative","Duality, Cosmic Struggle, Transformation",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmV8JQ4MzvfHhhpxNCueQ1Rv8CZrcDGsw2Qdb5LC1dm38K,https://gateway.pinata.cloud/ipfs/QmUURJk8UaLGkoFE4FSpiAhagnGqqYHrR8nxejoL4wu1SA
43,Artistic-Auras #43,"""An abstract composition blending organic shapes with geometric forms, highlighting vibrant, glowing orbs and polyhedral structures. The artwork features spheres, pyramids, and cubes in fiery orange and cool blue tones, surrounded by dark, vein-like roots. A radiant sun-like orb in the top left corner emanates light, while the other elements flow outward, representing the interplay of geometry and organic matter. The art conveys the idea of energy flow, creation, and cosmic order with a mix of natural and mathematical forms.""",43.png,"Fiery Oranges, Cool Blues, Dark Blacks, Warm Yellows",Radiant Sun-like Orb,"Geometric Shapes (Spheres, Polyhedrons, Cubes)",Organic and Angular Forms,"Dynamic, Cosmic, Creative","Cosmic Geometry, Energy Flow, Universal Balance",Abstract Surrealism,https://gateway.pinata.cloud/ipfs/QmetZgUdsPyBUcoNXqwPdkCy8EVRuyGjsMbSqKQftR1y9m,https://gateway.pinata.cloud/ipfs/QmP4ntP6yuYY2au7rF6vg2UrHCSbqx6KhmeoBi8EVZHCaB
49,Artistic-Auras #49,"""This abstract cosmic piece depicts a swirling mass of planets, stars, and energetic light forms. The warm yellow-orange circles suggest celestial bodies in motion, while smaller red, blue, and black spheres orbit the main glowing figures. Dark, smoky tendrils emanate from the central forms, intertwining the orbits and creating a sense of dynamic energy. The background features soft gradients of light gray, allowing the vibrant colors of the celestial bodies to stand out. The drips of orange and black create a feeling of cosmic movement, as if the scene is melting or expanding into the void.""",49.png,"Warm Oranges, Blues, Reds, Grays, and Black","Celestial Orbits, Planets, Stars","Swirling Motion, Orbiting Spheres, Energetic Lines","Circular Celestial Bodies, Smoky Tendrils, Dripping Energy","Dynamic, Chaotic, Cosmic","Celestial Motion, Cosmic Energy, Orbiting Bodies",Cosmic Surrealism with Abstract Expressionism Elements,https://gateway.pinata.cloud/ipfs/QmXeZpYJ9WfnChLBzPYbUhL2YDiDVBZJTfdhYJXvsEjEt8,https://gateway.pinata.cloud/ipfs/QmQQViqWvWDHsytdJ2J7eTuAcmFZLiHRGeUQEyDxd51ww8
63,Artistic-Auras #63,"""This abstract digital artwork juxtaposes organic and mechanical elements in a surreal dance of creation and destruction. Dominating the center is a large gear-like structure with glowing orbs that evoke the feeling of both cosmic forces and mechanical processes at play. On either side, serpentine forms writhe upwards, their dark lines hinting at both energy and organic growth. The center features a dark figure, possibly mechanical or otherworldly, as bright red tendrils of energy emanate from its core, connecting the orbs in a dynamic swirl of color. The interplay between organic and mechanical motifs suggests a narrative of transformation and the fusion of natural and artificial worlds.""",63.png,"Red, Black, Orange, Beige, Yellow","Gears, Orbs, Tendrils, Serpentine Energy","Fusion of Organic and Mechanical, Creation and Destruction, Energy Flow","Dynamic, Central Gear, Organic Movements","Chaotic, Transformative, Mechanical","Cosmic Mechanics, Creation, Fusion of Worlds",Surreal Abstract Art,https://gateway.pinata.cloud/ipfs/QmcWUdtQdHFSfbbZqdDbpdzxp2Nb1Mg1yTaf5VpkvKMk6M,https://gateway.pinata.cloud/ipfs/QmSfSTqp5MK4TRZk1ctVKzXUv3ua27Q76MgG3Ktr2B9rSf
67,Artistic-Auras #67,"""This abstract artwork captures the contrast between organic and geometric forms, portraying a brilliant sun radiating fiery energy across the canvas. A powerful lightning-like force extends from the sun, connecting with an explosion of dark red and blue spheres that are tangled in branching black tendrils. On the right side, a series of light blue geometric shapes appear to float, giving a sense of balance against the chaotic energy. The background features a gradient of warm oranges and cool grays, symbolizing the duality of opposing forces in the cosmos.""",67.png,"Orange, Yellow, Red, Black, Blue, White, Gray","Sun, Energy, Spheres, Geometric Shapes, Lightning","Celestial Power, Energy Flow, Geometric Forms","Organic vs Geometric, Radiating Energy","Dynamic, Chaotic, Balanced","Cosmic Forces, Energy and Form, Chaos and Order","Abstract Cosmic Art, Surrealist Dualism",https://gateway.pinata.cloud/ipfs/QmcHb81wZefNrqGBjx3rTBzkUDqPPWJm4GtPJ3e4hb6ntT,https://gateway.pinata.cloud/ipfs/QmZ4UAC4J4EF9Zfv9JsLiedZrakLwW4GrkXqH2ALVBo9CZ
70,Artistic-Auras #70,"""An intricate surreal representation of a tree-like figure intertwined with mechanical elements, symbolizing the fusion of life and technology. The central figure resembles a robotic character with a glowing orb in the chest, encased in a network of spheres, branches, and wires. The branches extend outward, each holding circular elements that represent celestial bodies or orbs. The background showcases a soft transition of light, evoking an ethereal cosmic landscape. Birds made of dark geometric shapes soar in the distance, adding a contrast between the organic and mechanical themes.""",70.png,"Teal, Orange, Blue, Black, Yellow","Tree, Robot, Orbs, Birds, Celestial Bodies","Mechanical Forms, Organic Branches, Energy Spheres","Geometric, Branching, Circular Orbs","Reflective, Mystical, Futuristic","Fusion of Nature and Technology, Cosmic Life Force, Evolution of Life","Abstract Futurism, Surreal Technology",https://gateway.pinata.cloud/ipfs/Qmb3TxBsNaKcR3K5VewUkMFE5G2LTKvaHnuv4yoySFWPh2,https://gateway.pinata.cloud/ipfs/QmRqRAQyqHGcgU8Yvr2QZbMwweDC6oaZpMLfR6kzasPSbe
92,Artistic-Auras #92,"""This abstract artwork represents a cosmic scene where a central glowing orb emits radiant energy waves through intertwining black and dark energy streams. The black and fiery orange swirls appear to encapsulate the celestial orbs, suggesting the formation or collapse of a star or cosmic entity. The use of light contrasts with the darker, shadowy tendrils extending outward, and soft geometric shapes fade into the background. Dripping textures along the lower section contribute to a sense of decay or transformation. The image gives off a blend of chaos and order, encapsulating the cycle of cosmic events.""",92.png,"Black, White, Grey, Fiery Orange, Yellow, Light Beige","Radiant Star or Energy Orb, Cosmic Tendrils, Dripping Shadows, Abstract Planets, Geometric Forms","Light and Dark Energy Streams, Radiant Central Glow, Geometric Patterns in the Background, Dripping Shadows","Circular, Twisting, Flowing, Dynamic","Mysterious, Chaotic, Energetic, Transformative","Cosmic Forces, Energy Fields, Creation, Destruction, Universal Balance","Expanding Energy, Twisting Motion, Flow of Cosmic Forces",https://gateway.pinata.cloud/ipfs/QmWsReQaPWeCUXiNd4mHVbdWitX7VuMMg9WXKW1xZobHiu,https://gateway.pinata.cloud/ipfs/Qma58eum4A9uNiTHYsAQsaPRbkAQzHVqakfdKHHK6LF3wr
93,Artistic-Auras #93,"""This abstract cosmic artwork displays a symmetrical composition featuring two glowing orbsone red-orange and the other black with a central fiery glowaligned vertically. Both orbs are surrounded by intricate branching patterns resembling energy surges or solar flares that seem to emanate from the central axis. The background features swirling patterns in soft grays, creams, and oranges that create a sense of motion and cosmic force. The artwork conveys a balance between opposing forces, evoking ideas of cosmic duality, energy, and creation. The design integrates both organic forms and sharp geometric elements that heighten the dynamic feel of the piece.""",93.png,"Red-Orange, Black, Cream, Gray, Soft Blue","Solar Orbs, Energy Waves, Branching Tendrils, Flame Patterns","Dual Orbs, Symmetry, Geometric Shapes, Flowing Energy Lines","Symmetrical, Radial, Flowing, Dynamic","Intense, Balanced, Mysterious, Energetic","Energy Balance, Duality, Cosmic Symmetry, Solar Forces","Radial Energy Expansion, Flowing Waves",https://gateway.pinata.cloud/ipfs/Qma3QJwzxdH2QPMHXKFqEEF6JNXf6GDomjk2v6n3NypuSo,https://gateway.pinata.cloud/ipfs/QmTnraw1EYDBXfKggqNXdbuHWPqjqjKvGkqmHF4pjcJ9CE
120,Artistic-Auras #120,"""An abstract exploration of cosmic forces, depicting planets or celestial bodies in alignment. The bold orbs of yellow, red, and teal seem to float in a void-like space, connected by thin lines of energy and surrounded by splashes of vibrant color. The dark background creates a stark contrast, emphasizing the glow and energy of the central elements. The image evokes themes of celestial balance, cosmic connections, and the mysteries of space.""",120.png,"Black, Yellow, Red, Teal, Orange","Celestial Bodies, Planetary Alignment","Planets, Orbs, Energetic Lines","Spherical, Floating, Circular Motion","Mystical, Contemplative, Cosmic","Space, Cosmic Balance, Energy, Alignment","Abstract Expressionism, Cosmic Art",https://gateway.pinata.cloud/ipfs/QmdGVV9wGm2QtiDCqeXQpJi47DYkfRp9cZ5KjWZw9qYt25,https://gateway.pinata.cloud/ipfs/QmRBxCHcetpAY6KvhRFNvVxa39iw128cXHfnRp5Xa14oVh
178,Artistic-Auras #178,"""This abstract artwork showcases a central burst of vivid colors, evoking the imagery of an explosion or energy surge. The composition blends warm hues like fiery reds, oranges, and yellows with cooler tones such as black, teal, and beige. The jagged lines and erratic splashes of paint give a sense of chaos and intensity. The soft, diffused background contrasts with the vibrant energy of the central explosion, creating a striking visual balance.""",178.png,"Warm oranges, reds, and yellows contrasted with blacks, beige, and muted teal","Energy Explosion, Abstract Form","Central burst of color, erratic and jagged lines, diffused edges","Organic, chaotic structure with energetic splatters and flowing strokes","Intense, Dynamic, Chaotic","Energy, Explosion, Creation, Chaos",Abstract Expressionism,https://gateway.pinata.cloud/ipfs/QmTRbVBbn4zE1e4TV711PBRTV5VDNtB4FSqBrn1PYzFjPL,https://gateway.pinata.cloud/ipfs/Qmb6vs8jSfwKttgogfEfV6rpxxdsrhKFogdM1FXTo1SvQt
443,Artistic-Auras #443,"A glowing white core at the center radiates spiraling streams of fiery orange and black energy. Tendrils intertwine with dripping textures, creating a vivid and dynamic representation of cosmic energy in motion",443.png,"Bright White, Fiery Orange, Deep Black, Subtle Beige",Central Luminous Core,"Radiating Tendrils, Dripping Energy, Intertwined Flows","Central Spiral, Radiating Patterns, Dripping Extensions","Intense, Dynamic, Energetic","Creation and Chaos, Cosmic Energy, Infinite Expansion","Spiraling Outward, Radiant Expansion, Gravitational Drips",https://gateway.pinata.cloud/ipfs/QmVKZ3RASrxsDrjUUfHFyA4WczEpppBW8cAD6kqcEbynkA,https://gateway.pinata.cloud/ipfs/QmNkbtK5FBy3hVB4cvZd2bnRYio97mdC6ETDL17f3532Kt
